capacity,weights,values
100,40,36
100,22,21
100,12,54
100,54,100
100,22,47
100,16,48
100,34,26
100,56,25
100,67,122
100,55,88
100,40,36
100,22,21
100,12,54
100,54,100
100,22,47
100,16,48
100,34,26
100,56,25
100,67,122
100,55,88
100,40,36
100,22,21
100,12,54
100,54,100
100,22,47
100,16,48
100,34,26
100,56,25
100,67,122
100,55,88
100,40,36
100,22,21
100,12,54
100,54,100
100,22,47
100,16,48
100,34,26
100,56,25
100,67,122
100,55,88
100,40,36
100,22,21
100,12,54
100,54,100
100,22,47
100,16,48
100,34,26
100,56,25
100,67,122
100,55,88
100,40,36
100,22,21
100,12,54
100,54,100
100,22,47
100,16,48
100,34,26
100,56,25
100,67,122
100,55,88
100,40,36
100,22,21
100,12,54
100,54,100
100,22,47
100,16,48
100,34,26
100,56,25
100,67,122
100,55,88
100,40,36
100,22,21
100,12,54
100,54,100
100,22,47
100,16,48
100,34,26
100,56,25
100,67,122
100,55,88
100,40,36
100,22,21
100,12,54
100,54,100
100,22,47
100,16,48
100,34,26
100,56,25
100,67,122
100,55,88
100,40,36
100,22,21
100,12,54
100,54,100
100,22,47
100,16,48
100,34,26
100,56,25
100,67,122
100,55,88
100,40,36
100,22,21
100,12,54
100,54,100
100,22,47
100,16,48
100,34,26
100,56,25
100,67,122
100,55,88
100,40,36
100,22,21
100,12,54
100,54,100
100,22,47
100,16,48
100,34,26
100,56,25
100,67,122
100,55,88
100,40,36
100,22,21
100,12,54
100,54,100
100,22,47
100,16,48
100,34,26
100,56,25
100,67,122
100,55,88
100,40,36
100,22,21
100,12,54
100,54,100
100,22,47
100,16,48
100,34,26
100,56,25
100,67,122
100,55,88
100,40,36
100,22,21
100,12,54
100,54,100
100,22,47
100,16,48
100,34,26
100,56,25
100,67,122
100,55,88
100,12,54
100,54,100
100,22,47
100,16,48
100,34,26
100,56,25
100,67,122
100,55,88
100,40,36
100,22,21
100,12,54
100,54,100
100,22,47
100,16,48
100,34,26
100,56,25
100,67,122
100,55,88
100,40,36
100,22,21
100,12,54
100,54,100
100,22,47
100,16,48
100,34,26
100,56,25
100,67,122
100,55,88
100,40,36
100,22,21
100,12,54
100,54,100
100,22,47
100,16,48
100,34,26
100,56,25
100,67,122
100,55,88
100,40,36
100,22,21
100,12,54
100,54,100
100,22,47
100,16,48
100,34,26
100,56,25
100,67,122
100,55,88
100,40,36
100,22,21
