capacity,weights,values
300,20,15
300,23,33
300,23,32
300,56,120
300,28,55
300,43,34
300,31,3
300,65,23
300,77,12
300,20,15
300,23,33
300,23,32
300,56,120
300,28,55
300,43,34
300,31,3
300,65,23
300,77,12
300,20,15
300,23,33
300,23,32
300,56,120
300,28,55
300,43,34
300,31,3
300,65,23
300,77,12
300,20,15
300,23,33
300,23,32
300,56,120
300,28,55
300,43,34
300,31,3
300,65,23
300,77,12
300,20,15
300,23,33
300,23,32
300,90,50
300,20,15
300,23,33
300,23,32
300,56,120
300,28,55
300,43,34
300,31,3
300,65,23
300,77,12
300,20,15
300,23,33
300,23,32
300,56,120
300,28,55
300,43,34
300,31,3
300,65,23
300,77,12
300,20,15
300,23,33
300,23,32
300,56,120
300,28,55
300,43,34
300,31,3
300,65,23
300,77,12
300,20,15
300,23,33
300,23,32
300,56,120
300,28,55
300,43,34
300,31,3
300,65,23
300,77,12
300,20,15
300,23,33
300,23,32
300,90,50
300,20,15
300,23,33
300,23,32
300,56,120
300,28,55
300,43,34
300,31,3
300,65,23
300,77,12
300,20,15
300,23,33
300,23,32
300,56,120
300,28,55
300,43,34
300,31,3
300,65,23
300,77,12
300,20,15
300,23,33
300,23,32
300,56,120
300,28,55
300,43,34
300,31,3
300,65,23
300,77,12
300,20,15
300,23,33
300,23,32
300,56,120
300,28,55
300,43,34
300,31,3
300,65,23
300,77,12
300,20,15
300,23,33
300,23,32
300,90,50
300,20,15
300,23,33
300,23,32
300,56,120
300,28,55
300,43,34
300,31,3
300,65,23
300,77,12
300,20,15
300,23,33
300,23,32
300,56,120
300,28,55
300,43,34
300,31,3
300,65,23
300,77,12
300,20,15
300,23,33
300,23,32
300,56,120
300,28,55
300,43,34
300,31,3
300,65,23
300,77,12
300,20,15
300,23,33
300,23,32
300,56,120
300,28,55
300,43,34
300,31,3
300,65,23
300,77,12
300,20,15
300,23,33
300,23,32
300,90,50
300,20,15
300,23,33
300,23,32
300,56,120
300,28,55
300,43,34
300,31,3
300,65,23
300,77,12
300,20,15
300,23,33
300,23,32
300,56,120
300,28,55
300,43,34
300,31,3
300,65,23
300,77,12
300,20,15
300,23,33
300,23,32
300,56,120
300,28,55
300,43,34
300,31,3
300,65,23
300,77,12
300,20,15
300,23,33
300,23,32
300,56,120
300,28,55
300,43,34
300,31,3
300,65,23
300,77,12
300,20,15
300,23,33
300,23,32
300,90,50
300,20,15
300,23,33
300,23,32
300,56,120
300,28,55
300,43,34
300,31,3
300,65,23
300,77,12
300,20,15
300,23,33
300,23,32
300,56,120
300,28,55
300,43,34
300,31,3
300,65,23
300,77,12
300,20,15
300,23,33
300,23,32
300,56,120
300,28,55
300,43,34
300,31,3
300,65,23
300,77,12
300,20,15
300,23,33
300,23,32
300,56,120
300,28,55
300,43,34
300,31,3
300,65,23
300,77,12
300,20,15
300,23,33
300,23,32
300,90,50
300,56,120
300,28,55
300,43,34
300,31,3
300,65,23
300,77,12
300,20,15
300,23,33
300,23,32
300,90,50
300,77,12
300,20,15
300,23,33
300,23,32
300,56,120
300,28,55
300,43,34
300,31,3
300,65,23
300,77,12
300,20,15
300,23,33
300,23,32
300,56,120
300,28,55
300,43,34
300,31,3
300,65,23
300,77,12
300,20,15
300,23,33
300,23,32
300,90,50
300,56,120
300,28,55
300,43,34
300,31,3
300,65,23
300,77,12
300,20,15
300,23,33
300,23,32
300,90,50
300,31,3
300,65,23
300,77,12
300,20,15
300,23,33
300,23,32
300,90,50
300,31,3
300,65,23
300,77,12
300,20,15
300,23,33
300,23,32
300,90,50
300,90,50
300,90,50
300,23,33
300,20,15
300,23,33
300,23,32
300,90,50
300,56,120
300,28,55
300,43,34
300,31,3
300,65,23
300,77,12
300,20,15
300,23,33
300,23,32
300,90,50
300,77,12
300,20,15
300,23,33
300,23,32
300,56,120
300,28,55
300,43,34
300,31,3
300,65,23
300,77,12
300,20,15
300,23,33
300,23,32
300,56,120
300,28,55
300,43,34
300,31,3
300,65,23
300,77,12
300,20,15
300,23,33
300,23,32
300,90,50
300,56,120
300,28,55
300,43,34
300,31,3
300,65,23
300,77,12
300,20,15
300,23,33
300,23,32
300,90,50
300,31,3
300,65,23
300,77,12
300,20,15
300,23,33
300,23,32
300,90,50
300,31,3
300,65,23
300,77,12
300,20,15
300,23,33
300,23,32
300,90,50
300,90,50
300,90,50
300,23,33
300,20,15
300,23,33
300,23,32
300,90,50
300,56,120
300,28,55
300,43,34
300,31,3
300,65,23
300,77,12
300,20,15
300,23,33
300,23,32
300,90,50
300,77,12
300,20,15
300,23,33
300,23,32
300,56,120
300,28,55
300,43,34
300,31,3
300,65,23
300,77,12
300,20,15
300,23,33
300,23,32
300,56,120
300,28,55
300,43,34
300,31,3
300,65,23
300,77,12
300,20,15
300,23,33
300,23,32










