capacity,weights,values
50,21,96
50,12,99
50,30,52
50,24,19
50,45,46
50,47,43
50,41,22
50,36,20
50,38,84
50,40,10
50,21,96
50,12,99
50,30,52
50,24,16
50,45,46
50,47,43
50,41,22
50,36,20
50,38,84
50,40,10
50,21,96
50,12,99
50,30,52
50,24,15
50,45,46
50,47,43
50,41,22
50,36,20
50,38,84
50,40,10
50,21,96
50,12,99
50,30,52
50,24,10
50,45,46
50,47,43
50,41,22
50,36,20
50,38,84
50,40,10
50,21,96
50,12,99
50,30,52
50,24,33
50,45,46
50,47,43
50,41,22
50,36,20
50,38,84
50,40,10
50,21,96
50,12,99
50,30,52
50,24,23
50,45,46
50,47,43
50,41,22
50,36,20
50,38,84
50,40,10
50,21,96
50,12,99
50,30,52
50,24,2
50,45,46
50,47,43
50,41,22
50,36,20
50,38,84
50,40,10
50,21,96
50,12,99
50,30,52
50,24,11
50,45,46
50,47,43
50,41,22
50,36,20
50,38,84
50,40,10
50,21,96
50,12,99
50,30,52
50,24,9
50,45,46
50,47,43
50,41,22
50,36,20
50,38,84
50,40,10
50,21,96
50,12,99
50,30,52
50,24,15
50,45,46
50,47,43
50,41,22
50,36,20
50,38,84
50,40,10
