capacity,weights,values
700,40,36
700,22,21
700,12,54
700,54,100
700,22,47
700,16,48
700,34,26
700,56,25
700,67,122
700,40,36
700,40,36
700,22,21
700,12,54
700,54,100
700,22,47
700,16,48
700,34,26
700,56,25
700,67,122
700,40,36
700,40,36
700,22,21
700,12,54
700,54,100
700,22,47
700,16,48
700,34,26
700,56,25
700,67,122
700,40,36
700,40,36
700,22,21
700,12,54
700,54,100
700,22,47
700,16,48
700,34,26
700,56,25
700,67,122
700,40,36
700,40,36
700,22,21
700,12,54
700,54,100
700,22,47
700,16,48
700,34,26
700,56,25
700,67,122
700,40,36
700,40,36
700,22,21
700,12,54
700,54,100
700,22,47
700,16,48
700,34,26
700,56,25
700,67,122
700,40,36
700,40,36
700,22,21
700,12,54
700,54,100
700,22,47
700,16,48
700,34,26
700,56,25
700,67,122
700,40,36
700,40,36
700,22,21
700,12,54
700,54,100
700,22,47
700,16,48
700,34,26
700,56,25
700,67,122
700,40,36
700,40,36
700,22,21
700,12,54
700,54,100
700,22,47
700,16,48
700,34,26
700,56,25
700,67,122
700,40,36
700,40,36
700,22,21
700,12,54
700,54,100
700,22,47
700,16,48
700,34,26
700,56,25
700,67,122
700,40,36
700,40,36
700,22,21
700,12,54
700,54,100
700,22,47
700,16,48
700,34,26
700,56,25
700,67,122
700,40,36
700,40,36
700,22,21
700,12,54
700,54,100
700,22,47
700,16,48
700,34,26
700,56,25
700,67,122
700,40,36
700,40,36
700,22,21
700,12,54
700,54,100
700,22,47
700,16,48
700,34,26
700,56,25
700,67,122
700,40,36
700,40,36
700,22,21
700,12,54
700,54,100
700,22,47
700,16,48
700,34,26
700,56,25
700,67,122
700,40,36
700,40,36
700,22,21
700,12,54
700,54,100
700,22,47
700,16,48
700,34,26
700,56,25
700,67,122
700,40,36
700,40,36
700,22,21
700,12,54
700,54,100
700,22,47
700,16,48
700,34,26
700,56,25
700,67,122
700,40,36
700,40,36
700,22,21
700,12,54
700,54,100
700,22,47
700,16,48
700,34,26
700,56,25
700,67,122
700,40,36
700,40,36
700,22,21
700,12,54
700,54,100
700,22,47
700,16,48
700,34,26
700,56,25
700,67,122
700,40,36
700,40,36
700,22,21
700,12,54
700,54,100
700,22,47
700,16,48
700,34,26
700,56,25
700,67,122
700,40,36
700,40,36
700,22,21
700,12,54
700,54,100
700,22,47
700,16,48
700,34,26
700,56,25
700,67,122
700,40,36
700,40,36
700,22,21
700,12,54
700,54,100
700,22,47
700,16,48
700,34,26
700,56,25
700,67,122
700,40,36
700,40,36
700,22,21
700,12,54
700,54,100
700,22,47
700,16,48
700,34,26
700,56,25
700,67,122
700,40,36
700,40,36
700,22,21
700,12,54
700,54,100
700,22,47
700,16,48
700,34,26
700,56,25
700,67,122
700,40,36
700,40,36
700,22,21
700,12,54
700,54,100
700,22,47
700,16,48
700,34,26
700,56,25
700,67,122
700,40,36
700,40,36
700,22,21
700,12,54
700,54,100
700,22,47
700,16,48
700,34,26
700,56,25
700,67,122
700,40,36
700,40,36
700,22,21
700,12,54
700,54,100
700,22,47
700,16,48
